,index,user,group,task,phase,time,type,sourcePath,targetPath,sourceRange,targetRange,time_dup
63,212,energy,control,1,1,2023-02-01 19:27:44.697568,define,code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),code/lib/commands/app/copy_share_link_command.dart (soccer),22:29-22:32,14:15-14:18,2023-02-01T19:27:44.697568
65,570,energy,control,1,1,2023-02-01 19:27:47.465390,UI,,/styled_widgets/buttons/styled_share_btn.dart,,,2023-02-01T19:27:47.465390
66,213,energy,control,1,1,2023-02-01 19:27:58.395975,tree,,code/lib/commands/commands.dart (elastic),,,2023-02-01T19:27:58.395975
68,214,energy,control,1,1,2023-02-01 19:28:04.752136,tree,,code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),,,2023-02-01T19:28:04.752136
70,215,energy,control,1,1,2023-02-01 19:28:08.415058,define,code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),code/lib/commands/app/copy_share_link_command.dart (soccer),22:6-22:26,10:6-10:26,2023-02-01T19:28:08.415058
72,216,energy,control,1,1,2023-02-01 19:28:17.226640,define,code/lib/commands/app/copy_share_link_command.dart (soccer),code/lib/commands/commands.dart (elastic),10:35-10:49,18:6-18:20,2023-02-01T19:28:17.226640
74,217,energy,control,2,0,2023-02-01 19:29:44.521914,tree,,code/lib/_widgets/context_menu_overlay.dart (NO_NODE_YET),,,2023-02-01T19:29:44.521914
76,218,energy,control,2,0,2023-02-01 19:30:04.444007,tree,,code/lib/styled_widgets/context_menus/book_context_menu.dart (NO_NODE_YET),,,2023-02-01T19:30:04.444007
78,219,energy,control,2,0,2023-02-01 19:30:14.267660,tree,,code/lib/styled_widgets/context_menus/scrap_context_menu.dart (NO_NODE_YET),,,2023-02-01T19:30:14.267660
80,220,energy,control,2,0,2023-02-01 19:30:30.752142,mark,,code/lib/styled_widgets/context_menus/scrap_context_menu.dart (stove),,29:0-30:4,2023-02-01T19:30:30.752142
81,221,energy,control,2,0,2023-02-01 19:30:32.754226,unmark,,code/lib/styled_widgets/context_menus/scrap_context_menu.dart (stove),,29:0-30:4,2023-02-01T19:30:32.754226
82,222,energy,control,2,0,2023-02-01 19:30:35.388291,mark,,code/lib/styled_widgets/context_menus/scrap_context_menu.dart (stove),,30:4-30:78,2023-02-01T19:30:35.388291
83,223,energy,control,2,0,2023-02-01 19:30:53.513557,define,code/lib/styled_widgets/context_menus/scrap_context_menu.dart (stove),code/lib/commands/books/delete_page_scrap_command.dart (NO_NODE_YET),30:35-30:57,6:6-6:28,2023-02-01T19:30:53.513557
85,224,energy,control,2,0,2023-02-01 19:31:33.285190,mark,,code/lib/commands/books/delete_page_scrap_command.dart (windshield),,7:2-11:3,2023-02-01T19:31:33.285190
86,225,energy,control,2,0,2023-02-01 19:31:36.195021,define,code/lib/commands/books/delete_page_scrap_command.dart (windshield),code/lib/commands/books/update_book_modified_command.dart (NO_NODE_YET),9:4-9:29,6:6-6:31,2023-02-01T19:31:36.195021
